"key","ru_RU","en_US"
"calculator.android_top_app_bar.title","Новости и полезные статьи","News and articles"
"news.exchange_rate_board.title","Курс валют","Exchange rate"
"news.percents_calculator.title","Калькулятор процентов","Credit calculator"
"news.percents_calculator.button","Перейти","Calculate"
"calculator.android_top_app_bar.title","Калькулятор процентов","Credit calculator"
"calculator.sliders_container.sum","Сумма кредита/займа","Credit amount"
"calculator.sliders_container.rate","Процентная ставка, % готовых","Interest rate"
"calculator.sliders_container.period","Срок кредита/займа","Loan period"
"calculator.result","Месячный платеж","Monthly payment"
"УДАЛИТЬ","Расчет предварительный. Используется дифференциальная система.","The calculation is preliminary. A differential system is used."
"continue","Продолжить","Continue"